Date,Close
2015-1-2,109.33
2015-1-5,106.25
2015-1-6,106.26
2015-1-7,107.75
2015-1-8,111.89
2015-1-9,112.01
2015-1-12,109.25
2015-1-13,110.22
2015-1-14,109.8
2015-1-15,106.82
2015-1-16,105.99
2015-1-20,108.72
2015-1-21,109.55
2015-1-22,112.4
2015-1-23,112.98
2015-1-26,113.1
2015-1-27,109.14
2015-1-28,115.31
2015-1-29,118.9
2015-1-30,117.16
2015-2-2,118.63
2015-2-3,118.65
2015-2-4,119.56
2015-2-5,119.94
2015-2-6,118.93
2015-2-9,119.72
2015-2-10,122.02
2015-2-11,124.88
2015-2-12,126.46
2015-2-13,127.08
2015-2-17,127.83
2015-2-18,128.72
2015-2-19,128.45
2015-2-20,129.5
2015-2-23,133
2015-2-24,132.17
2015-2-25,128.79
2015-2-26,130.42
2015-2-27,128.46
2015-3-2,129.09
2015-3-3,129.36
2015-3-4,128.54
2015-3-5,126.41
2015-3-6,126.6
2015-3-9,127.14
2015-3-10,124.51
2015-3-11,122.24
2015-3-12,124.45
2015-3-13,123.59
2015-3-16,124.95
2015-3-17,127.04
2015-3-18,128.47
2015-3-19,127.5
2015-3-20,125.9
2015-3-23,127.21
2015-3-24,126.69
2015-3-25,123.38
2015-3-26,124.24
2015-3-27,123.25
2015-3-30,126.37
2015-3-31,124.43
2015-4-1,124.25
2015-4-2,125.32
2015-4-6,127.35
2015-4-7,126.01
2015-4-8,125.6
2015-4-9,126.56
2015-4-10,127.1
2015-4-13,126.85
2015-4-14,126.3
2015-4-15,126.78
2015-4-16,126.17
2015-4-17,124.75
2015-4-20,127.6
2015-4-21,126.91
2015-4-22,128.62
2015-4-23,129.67
2015-4-24,130.28
2015-4-27,132.65
2015-4-28,130.56
2015-4-29,128.64
2015-4-30,125.15
2015-5-1,128.95
2015-5-4,128.7
2015-5-5,125.8
2015-5-6,125.01
2015-5-7,125.26
2015-5-8,127.62
2015-5-11,126.32
2015-5-12,125.87
2015-5-13,126.01
2015-5-14,128.95
2015-5-15,128.77
2015-5-18,130.19
2015-5-19,130.07
2015-5-20,130.06
2015-5-21,131.39
2015-5-22,132.54
2015-5-26,129.62
2015-5-27,132.04
2015-5-28,131.78
2015-5-29,130.28
2015-6-1,130.54
2015-6-2,129.96
2015-6-3,130.12
2015-6-4,129.36
2015-6-5,128.65
2015-6-8,127.8
2015-6-9,127.42
2015-6-10,128.88
2015-6-11,128.59
