Date,Close
2015-1-2,141.61
2015-1-5,140
2015-1-6,141.85
2015-1-7,144.32
2015-1-8,145.56
2015-1-9,143.32
2015-1-12,142.52
2015-1-13,141.09
2015-1-14,139.31
2015-1-15,139.31
2015-1-16,139.72
2015-1-20,139.38
2015-1-21,139.14
2015-1-22,141.27
2015-1-23,142.05
2015-1-26,142.91
2015-1-27,140.99
2015-1-28,139.62
2015-1-29,140.64
2015-1-30,142.99
2015-2-2,146
2015-2-3,153.75
2015-2-4,155.92
2015-2-5,149.09
2015-2-6,148.7
2015-2-9,147.54
2015-2-10,148.22
2015-2-11,147.46
2015-2-12,147.76
2015-2-13,147.1
2015-2-17,147.53
2015-2-18,147.23
2015-2-19,146.67
2015-2-20,147.54
2015-2-23,148.39
2015-2-24,148.21
2015-2-25,147.48
2015-2-26,146.65
2015-2-27,146.96
2015-3-2,147.94
2015-3-3,147.37
2015-3-4,147.17
2015-3-5,151.17
2015-3-6,149.54
2015-3-9,150.68
2015-3-10,148.16
2015-3-11,147.4
2015-3-12,149.44
2015-3-13,149.28
2015-3-16,149.99
2015-3-17,150.03
2015-3-18,150.93
2015-3-19,151.31
2015-3-20,152.59
2015-3-23,152.93
2015-3-24,153.14
2015-3-25,151.09
2015-3-26,150.06
2015-3-27,150.47
2015-3-30,152.37
2015-3-31,151.5
2015-4-1,150.24
2015-4-2,151.63
2015-4-6,152.5
2015-4-7,151.78
2015-4-8,152
2015-4-9,148.81
2015-4-10,149.64
2015-4-13,149.02
2015-4-14,149.52
2015-4-15,149.07
2015-4-16,147.11
2015-4-17,144.57
2015-4-20,146.31
2015-4-21,147.34
2015-4-22,146.98
2015-4-23,147.3
2015-4-24,148.12
2015-4-27,146.96
2015-4-28,146.61
2015-4-29,144.46
2015-4-30,143.05
2015-5-1,145.39
2015-5-4,145.75
2015-5-5,144.5
2015-5-6,144.77
2015-5-7,144.56
2015-5-8,145.88
2015-5-11,144.27
2015-5-12,144.07
2015-5-13,143.24
2015-5-14,142.6
2015-5-15,144.83
2015-5-18,145.06
2015-5-19,144.74
2015-5-20,143.49
2015-5-21,143.94
2015-5-22,143.68
2015-5-26,143.25
2015-5-27,145.42
2015-5-28,144.26
2015-5-29,142.59
2015-6-1,142.39
2015-6-2,141.4
2015-6-3,142.13
2015-6-4,140.65
2015-6-5,138.78
2015-6-8,138.05
2015-6-9,138.04
2015-6-10,139.43
2015-6-11,139.32
2015-6-12,138.78
2015-6-15,137.23
2015-6-16,137.98
2015-6-17,138.88
2015-6-18,140.5
2015-6-19,140.3
2015-6-22,140.19
2015-6-23,139.65
2015-6-24,138.34
2015-6-25,137.45
2015-6-26,138.06
2015-6-29,135.69
2015-6-30,135.06
2015-7-1,136.49
2015-7-2,136.39
2015-7-6,135.88
2015-7-7,140.5
2015-7-8,139.9
2015-7-9,139.45
2015-7-10,142.72
2015-7-13,144.06
2015-7-14,143.93
2015-7-15,143.63
2015-7-16,144.33
2015-7-17,144.68
2015-7-20,145.04
2015-7-21,144.94
2015-7-22,146.38
2015-7-23,145.6
2015-7-24,144.99
2015-7-27,144.25
2015-7-28,144.55
2015-7-29,145.38
2015-7-30,145.3
2015-7-31,145.3
2015-8-3,145.52
2015-8-4,144.84
2015-8-5,146.89
2015-8-6,146.44
2015-8-7,145.26
2015-8-10,146.25
2015-8-11,145.89
2015-8-12,146.49
2015-8-13,145.27
2015-8-14,146.09
2015-8-17,146.09
2015-8-18,145.63
2015-8-19,145.17
2015-8-20,143.71
2015-8-21,138.99
2015-8-24,132.97
2015-8-25,132.71
2015-8-26,138.16
2015-8-27,140.21
2015-8-28,139.95
2015-8-31,140.05
2015-9-1,138.3
2015-9-2,140.42
2015-9-3,140.48
2015-9-4,138.48
2015-9-8,141.43
2015-9-9,139.68
2015-9-10,140.01
2015-9-11,141.05
2015-9-14,141.15
2015-9-15,142.43
2015-9-16,143.61
2015-9-17,143.35
2015-9-18,141.81
2015-9-21,143.21
2015-9-22,142.65
2015-9-23,145.43
2015-9-24,144.87
2015-9-25,145.55
2015-9-28,143.55
2015-9-29,143.72
2015-9-30,144.57
2015-10-1,144.56
2015-10-2,145.86
2015-10-5,148.07
2015-10-6,148.41
2015-10-7,147.96
2015-10-8,151.66
2015-10-9,153.97
2015-10-12,153.63
2015-10-13,152.28
2015-10-14,149.84
2015-10-15,151.77
2015-10-16,152.06
2015-10-19,153.22
2015-10-20,154.56
2015-10-21,155.21
2015-10-22,158.15
2015-10-23,155.74
2015-10-26,156.73
2015-10-27,157.76
2015-10-28,157.76
2015-10-29,158.28
2015-10-30,158.12
2015-11-2,159.15
2015-11-3,158.8
2015-11-4,157.15
2015-11-5,156.27
2015-11-6,157.55
2015-11-9,155.16
2015-11-10,156.41
2015-11-11,156.39
2015-11-12,156
2015-11-13,153.67
2015-11-16,156.45
2015-11-17,158.89
2015-11-18,161.25
2015-11-19,162.83
2015-11-20,163.1
2015-11-23,163.45
2015-11-24,162.19
2015-11-25,162.39
2015-11-27,163.58
2015-11-30,161.42
2015-12-1,161.29
2015-12-2,161.09
2015-12-3,163.67
2015-12-4,166.8
2015-12-7,167.12
2015-12-8,168.87
2015-12-9,159.72
2015-12-10,161.86
2015-12-11,160.02
2015-12-14,161.84
2015-12-15,161.29
2015-12-16,162.76
2015-12-17,160.68
2015-12-18,157.7
2015-12-21,159.39
2015-12-22,161.23
2015-12-23,161.71
2015-12-24,161.75
2015-12-28,161.16
2015-12-29,162.66
2015-12-30,162.71
2015-12-31,161.5
2016-1-4,159.54
2016-1-5,159.93
2016-1-6,158.45
2016-1-7,154.82
2016-1-8,152.11
2016-1-11,154.72
2016-1-12,156.06
2016-1-13,152.12
2016-1-14,153.18
2016-1-15,150.39
2016-1-19,150.47
2016-1-20,148.82
2016-1-21,150.38
2016-1-22,153.69
2016-1-25,150.78
2016-1-26,148.5
2016-1-27,147.73
2016-1-28,149.59
2016-1-29,151.12
2016-2-1,151.25
2016-2-2,148.5
2016-2-3,146.7
2016-2-4,143.28
2016-2-5,143.99
2016-2-8,147.02
2016-2-9,147.94
2016-2-10,148.05
2016-2-11,146.65
2016-2-12,148.65
2016-2-16,149.11
2016-2-17,150.91
2016-2-18,148.65
2016-2-19,148.7
2016-2-22,150.06
2016-2-23,150.36
2016-2-24,153.87
2016-2-25,154.72
2016-2-26,149.68
2016-2-29,150.03
2016-3-1,150.52
2016-3-2,152.79
2016-3-3,151.6
2016-3-4,150.9
2016-3-7,148.17
2016-3-8,150.95
2016-3-9,153.05
2016-3-10,152.87
2016-3-11,152.71
2016-3-14,152.67
2016-3-15,154.18
2016-3-16,154.06
2016-3-17,153.84
2016-3-18,153.15
2016-3-21,153.94
2016-3-22,152.23
2016-3-23,153.51
2016-3-24,151.43
2016-3-28,152.67
2016-3-29,155.26
2016-3-30,157.6
2016-3-31,157.58
2016-4-1,158.25
2016-4-4,157.73
2016-4-5,155.99
2016-4-6,156.77
2016-4-7,152.03
2016-4-8,151.65
2016-4-11,149.05
2016-4-12,150.52
2016-4-13,151.88
2016-4-14,151.4
2016-4-15,153.17
2016-4-18,153.3
2016-4-19,153.68
2016-4-20,152.74
2016-4-21,151.42
2016-4-22,149.92
2016-4-25,151.51
2016-4-26,152.6
2016-4-27,151.77
2016-4-28,151.44
2016-4-29,148.13
2016-5-2,150.93
2016-5-3,151.41
2016-5-4,151.51
2016-5-5,147.84
2016-5-6,146.44
2016-5-9,148.59
2016-5-10,149.56
2016-5-11,147.12
2016-5-12,146.72
2016-5-13,144.5
2016-5-16,145.79
2016-5-17,143.6
2016-5-18,141.29
2016-5-19,142.7
2016-5-20,142.69
2016-5-23,142.01
2016-5-24,142.57
2016-5-25,144.54
2016-5-26,149.71
2016-5-27,149.08
2016-5-31,148.77
2016-6-1,152.52
2016-6-2,151.51
2016-6-3,151.71
2016-6-6,152.24
2016-6-7,152.62
